road,model_type,condition,name,lat,lon,length,chainage,road name2
N1,bridge,A,VANGGARPOL BOX CULVERT,22.6895555555555,91.6208055555555,4.2,192.408,
N1,bridge,A,BORO KAMALDA BOX CULVERT,22.6850833333333,91.6228055555555,3.2,192.95,
N1,bridge,A,TARAT BOX CULVERT,22.6751666666666,91.6274166666666,6.0,194.149,
N1,bridge,A,Tarial Bazar Culvert,22.6679166666666,91.6300555555555,3.0,194.998,
N1,bridge,A,MIRJA PUR (3) BOX CULVERT,22.6637222222222,91.6320833333333,3.0,195.501,
N1,bridge,A,SATU DURUAR HAT BOX CULVERT,22.6597777777777,91.6349444444444,3.0,196.038,
N1,bridge,A,RONA SORA CULVERT,22.6527777777777,91.6390555555555,3.1,196.925,
N1,bridge,A,NUNA CHARA BOX CULVERT,22.6489722222222,91.641,4.6,197.39,
N1,bridge,A,BOTTOL BOX CULVERT,22.6453333333333,91.6429722222222,12.4,197.846,
N1,bridge,A,KACHAI PATH BOX CULVERT,22.6338888888888,91.6493611111111,3.0,199.279,
N1,bridge,A,KACHAI POTTI BOX CULVERT,22.6320277777777,91.6502777777777,3.0,199.502,
N1,bridge,A,EGOL PUR BOX CULVERT,22.6259166666666,91.654,3.0,200.277,
N1,bridge,B,UTTOR SITAKONDO BAZAR BOX CULVERT,22.6235,91.6553888888889,6.1,200.575,
N1,bridge,A,SITAKUNDA SLAB,22.6208611111111,91.6569722222222,3.0,200.918,
N1,bridge,A,MOHADAB PUR BOX CULVERT,22.6161944444444,91.6599722222222,3.0,201.52,
N1,bridge,A,DULAHAJRA(R),22.6123611111111,91.6620833333333,4.6,201.999,
N1,bridge,A,MADICAL MORE CULVERT,22.6088333333333,91.6640555555555,3.0,202.435,
N1,bridge,A,DOKHIN MOHADEB PUR BOX CULVERT,22.6009444444444,91.6693055555555,2.95,203.457,
N1,bridge,B,KALIAVA BOX CULVERT,22.5995,91.67025,4.5,203.651,
N1,bridge,B,SKM BOX CULVERT(1),22.5941777777777,91.6737333333333,9.3,204.342,
N1,bridge,A,HATILOTA BOX CULVERT,22.5905555555555,91.6754166666666,4.5,204.765,
N1,bridge,C,BAROCONDO BRIDGE,22.5836388888888,91.6784444444444,22.25,205.615,
N1,bridge,A,BAROGINDO CULVERT,22.5779722222222,91.6810833333333,2.5,206.3,
N1,bridge,A,BARO-CUNDHOW BOX CULVERT,22.5731944444444,91.6830555555555,10.2,206.866,
N1,bridge,A,PHPMORE BON CULVERT,22.5667777777777,91.6851388888888,3.0,207.64,
N1,bridge,A,CHARA KANDI BOX CULVERT,22.5640833333333,91.6858611111111,8.2,207.913,
N1,bridge,A,R. R TEXTAIL BOX CULVERT,22.5624722222222,91.6863055555555,4.5,208.1,
N1,bridge,A,OHIDPUR BOX CULVERT,22.5540555555555,91.6884444444444,4.1,209.024,
N1,bridge,B,BARSH BARIA BRIDGE,23.5503333333333,91.6902222222222,21.6,209.514,
N1,bridge,A,SOUTH BALSH KHALI BOX CULVERT,22.5431111111111,91.69475,3.0,210.476,
N1,bridge,A,DOKHIN BASH-KHALI BOX CULVERT,22.5399166666666,91.6960555555555,5.2,210.776,
N1,bridge,A,SOTTANA MONDIR CULVERT,22.5347777777777,91.6982777777777,8.2,211.433,
N1,bridge,A,GULAM JUTE MILE BOX CULVERT,22.5261388888888,91.7024722222222,3.0,212.483,
N1,bridge,B,KYSTELGATE ARCH,22.5207222222222,91.7081388888889,16.3,213.386,
N1,bridge,A,Chotokumir Bridge,22.5165556,91.7065833,41.11,214.807,
N1,bridge,A,ROYL CIMINT GATE CULVETRT,22.5030833333333,91.7132222222222,4.5,215.467,
N1,bridge,A,GORA MARA RCC GIRDER BRIDGE,22.4961388888888,91.7159444444444,17.6,216.196,
N1,bridge,B,GORA MARI BOX CULVERT,22.4869166666666,91.7192777777777,3.0,217.377,
N1,bridge,A,BARAOWLLA BOX CULVERT,22.4819444444444,91.7201944444444,4.5,217.942,
N1,bridge,D,Baro Aulia,22.4690891462562,91.7204999608985,24.33,218.441,
N1,bridge,A,HATIBORI BOX CULVERT,22.4693888888888,91.7250555555555,6.0,219.427,
N1,bridge,D,Modonhat Bridge,22.4624386352,91.7285307,24.32,220.725,
N1,bridge,A,KODOM RASUL BOX CULVERT,22.4450833333333,91.7360277777777,3.0,222.357,
N1,bridge,C,SALAKHARPAD BRIDGE,22.4420555555555,91.7368888888888,26.3,222.687,
N1,bridge,A,HASNA BAD BOX CULVERT,22.4333055555555,91.7403055555555,3.0,223.743,
N1,bridge,A,VATERIE BRIDGE,22.4307222222222,91.7414722222222,40.0,224.053,
N1,bridge,B,DHAMAKHALI BRIDGE,22.4185555555555,91.7504444444444,35.1,225.702,
N1,bridge,A,VATIARI CULVERT,22.3978333333333,91.7576666666666,5.0,228.029,
N1,bridge,A,T. B HOSPITAL GATE BOX CULVERT,22.3920833333333,91.7592222222222,3.0,228.797,
N1,bridge,A,GAMMON BRIDGE,22.3887777777777,91.7605833333333,18.0,229.203,
N1,bridge,A,PAKKA MATA BOX CULVERT,22.3812777777777,91.7653888888888,3.0,230.13,
N1,bridge,A,GLAXO BOX CULVERT,22.3764166666666,91.7704166666666,8.3,230.921,
N1,bridge,A,CORNAIL HAT BOX CULVERT,22.3694722222222,91.7772777777777,3.0,231.966,
N1,bridge,C,BOALIA BOX CULVERT,22.36325,91.8514166666666,4.65,242.016,
N1,bridge,A,Bakulia Bridge,22.3522674714754,91.852622049836,15.8,242.898,
N1,bridge,C,5 No hafez bazar Bridge,22.3395393508599,91.8533871579852,39.67,244.367,
N1,bridge,C,Tulatuli Bridge,22.3357673216494,91.8538536927835,40.38,244.856,
N1,bridge,C,Rajakhali Bridge,22.3349153368556,91.8533979043814,49.31,244.975,
N1,bridge,A,Sha Amanot Bridge,22.3266451369152,91.852759390139,954.5,246.02,
N1,bridge,A,Shikalbaha Bridge,22.3129265129032,91.856181916129,17.3,247.637,
N1,bridge,C,SHIKALBAHA,22.3084166666666,91.8589166666666,15.2,248.499,
N1,bridge,A,SOUTH MITTACHORI,22.3042222222222,91.8621111111111,3.0,249.04,
N1,bridge,B,SHIKALBAHA BOX CULVERT,22.3020833333333,91.8640555555555,5.7,249.348,
N1,bridge,A,KADUMTOLI CULVERT,22.2997777777777,91.8655833333333,3.0,249.674,
N1,bridge,A,ISLAMPUR CULVERT,22.2950555555555,91.8673055555555,1.5,250.215,
N1,bridge,A,NOLBILA CULVERT,22.2925555555555,91.8686388888888,3.0,250.519,
N1,bridge,A,SHIKALBAHA MORE,22.29175,91.8711944444444,3.0,250.841,
N1,bridge,A,SHIKALBAHA BOX CULVERT,22.2937777777777,91.8748055555555,3.0,251.281,
N1,bridge,C,SHIKALBAHA BRIDGE,22.2948333333333,91.8771666666666,116.5,251.538,
N1,bridge,B,SHANTERHAT CULVERT,22.2984722222222,91.8855,3.0,252.506,
N1,bridge,B,SHANTERHAT BOX CULVERT,22.3016111111111,91.8974444444444,3.1,253.777,
N1,bridge,A,KUSUMPUR BOX CULVERT,22.3031111111111,91.9026666666666,3.0,254.333,
N1,bridge,B,MUNSHA BOX CULVERT(L),22.3070555555555,91.9127777777777,10.8,255.505,
N1,bridge,A,MONSHA CULVERT,22.3126111111111,91.9188333333333,3.0,256.378,
N1,bridge,A,UTTOR SONAPUR,22.3159722222222,91.9225555555555,3.0,256.89,
N1,bridge,A,Pirol,22.3136388888888,91.9321944444444,5.3,257.94,
N1,bridge,A,UZIRPUR HIGH SCHOOL,22.3099166666666,91.94775,3.0,259.795,
N1,bridge,C,PATIYA BRIDGE,22.3010833333333,91.9641666666666,50.8,262.116,
N1,bridge,A,PALYA BUS STATION,22.2920833333333,91.9490555555555,12.4,264.369,
N1,bridge,B,Srimi Bridge,22.3137778,91.9322216,61.0,265.483,
N1,bridge,B,KOMOLMUNSHE HAT BOX CULVERT,22.2820833333333,91.9987222222222,14.0,266.424,
N1,bridge,A,KHORNA CULVERT,22.2725277777777,92.0056944444444,3.0,267.818,
N1,bridge,B,Korna Bridge,22.2615671675213,92.0072736555555,15.2,268.954,
N1,bridge,C,AJIMPUR CUL,22.2600555555555,92.0076666666666,9.8,269.199,
N1,bridge,A,MOJAFFARABAD,22.2558055555555,92.0094166666666,9.2,269.721,
N1,bridge,A,MOJAFFORABAD BOX CULVERT,22.2536111111111,92.0115277777777,6.0,269.99,
N1,bridge,A,MOJAFFORABAD,22.2494722222222,92.0152222222222,9.4,270.642,
N1,bridge,A,ROWSONAT CUL,22.2410555555555,92.0215555555555,14.0,271.89,
N1,bridge,A,KANCHANAGAR CUL,22.23725,92.0230277777777,14.0,272.356,
N1,bridge,B,Kanchon Nagar Bridge,22.286583,91.9911108,12.7,273.008,
N1,bridge,B,NORTH JOARA PAKKAR DOKAN,22.2278333333333,92.0261388888889,9.4,273.443,
N1,bridge,A,GASBAREA BOX CULVERT,22.2240833333333,92.0271666666666,14.0,273.878,
