road,model_type,condition,name,lat,lon,length,chainage,road name2,id
N1,link,,link_16,23.67061111,90.56,668,13.574,,1000031
N1,bridge,B,MALIBAG BOX CULVERT,23.67061111,90.56,1195,15.465,,1000032
N1,link,,link_17,23.6559167,90.5745271,823,15.465,,1000033
N1,bridge,C,Langalbandh Bridge.,23.6559167,90.5745271,704,17.134,,1000034
N1,link,,link_18,23.6508889,90.5826382,1066,17.134,,1000035
N1,bridge,A,Darikandi Bridge (L),23.6508889,90.5826382,564,17.222,,1000036
N1,link,,link_19,23.65608333,90.57438889,649,17.222,,1000037
N1,bridge,B,DARIKANDI BRIDGE (R),23.65608333,90.57438889,656,17.722,,1000038
N1,link,,link_20,23.6497544,90.58454901,19,17.722,,1000039
N1,bridge,A,Sonakhal Bridge(L),23.6497544,90.58454901,795,18.093,,1000040
N1,link,,link_21,23.65038889,90.58236111,520,18.093,,1000041
N1,bridge,C,MOLLIK PARA BRIDGE (R),23.65038889,90.58236111,1070,18.742,,1000042
N1,link,,link_22,23.64680556,90.58991667,227,18.742,,1000043
N1,bridge,A,KRIBORDI BOX CULVERT,23.64680556,90.58991667,299,19.76,,1000044
N1,link,,link_23,23.63980556,90.59266667,1303,19.76,,1000045
N1,bridge,B,SHADIPUR BOX CULVERT,23.63980556,90.59266667,2294,20.397,,1000046
N1,link,,link_24,23.62846685,90.60230157,556,20.397,,1000047
N1,bridge,A,Marikhali Bridge(R),23.62846685,90.60230157,3076,21.184,,1000048
N1,link,,link_25,23.62630556,90.604,2228,21.184,,1000049
N1,bridge,B,SANGAKADI CULVERT,23.62630556,90.604,1707,22.328,,1000050
N1,link,,link_26,23.6176408,90.60955061,1513,22.328,,1000051
N1,bridge,B,Ashariarchar Bridge(R),23.6176408,90.60955061,2174,22.596,,1000052
N1,link,,link_27,23.62052778,90.60791667,1755,22.596,,1000053
N1,bridge,A,ASHARIR CHAR (L),23.62052778,90.60791667,3693,23.081,,1000054
N1,link,,link_28,23.6018611,90.6159722,2832,23.081,,1000055
N1,bridge,A,Meghna Bridge,23.6018611,90.6159722,1992,24.393,,1000056
N1,link,,link_29,23.598,90.62219444,2268,24.393,,1000057
N1,bridge,A,TATULTALA CULVERT,23.598,90.62219444,440,26.115,,1000058
N1,link,,link_30,23.59616667,90.62469444,2640,26.115,,1000059
N1,bridge,A,BAILAKANDI CULVERT,23.59616667,90.62469444,1862,26.452,,1000060
N1,link,,link_31,23.59175,90.62933333,3116,26.452,,1000061
N1,bridge,A,MALUAKANDI CULVEDRT,23.59175,90.62933333,3123,27.12,,1000062
N1,link,,link_32,23.5825827,90.6381386,1033,27.12,,1000063
N1,bridge,A,Bhater char Bridge (R),23.5825827,90.6381386,1169,28.315,,1000064
N1,link,,link_33,23.572166,90.6451108,1901,28.315,,1000065
N1,bridge,A,Anarpara Bridge (L),23.572166,90.6451108,2567,29.138,,1000066
N1,link,,link_34,23.57236111,90.64516667,897,29.138,,1000067
N1,bridge,A,VITIKANDA - ANAR PUR CULVERT,23.57236111,90.64516667,591,29.842,,1000068
N1,link,,link_35,23.5590278,90.6559444,552,29.842,,1000069
