road,type,condition,name,lat,lon,length
N1,Box Culvert,A,MIRSARAI BOX CUL,22.7934444444444,91.5632222222222,4.5
N1,RCC Girder Bridge,B,MIRAISORI BRIDGE,22.7813611111111,91.5694999999999,23.2
N1,Box Culvert,A,Mirsorai(2) box culvert,22.7733055555555,91.5733055555555,6.0
N1,Box Culvert,A,IANAINIPOL BOX CULVERT.,22.7693888888888,91.5755277777777,9.7
N1,Box Culvert,A,BOKIMTOLA BOX CULVERT,22.7622222222222,91.5810555555555,4.0
N1,Box Culvert,A,VARTAKA BOX CULVERT,22.7526666666666,91.5892777777777,12.9
N1,Box Culvert,A,VARTAGIA BOX CULVERT,22.7496944444444,91.5915555555555,3.0
N1,Box Culvert,B,BOTHAGIA (-3) BOX CULVERT,22.7433055555555,91.5949722222222,8.1
N1,Box Culvert,A,NIAZAMPUR BOX CULVERT,22.7221111111111,91.603,3.0
N1,Box Culvert,A,MIRJAPUR BOX CULVERT,22.7165277777777,91.6064444444444,3.0
N1,Box Culvert,A,MIRZAPUR (2) BOX CULVERT,22.7159999999999,91.6069166666666,3.0
N1,Box Culvert,C,ISAMATI BOX CULVERT,22.7123888888888,91.6090277777777,19.2
N1,Box Culvert,A,DUKHIN UTHPAR BOX CULVERT,22.7001944444444,91.6154166666666,19.2
N1,Box Culvert,A,VANGGARPOL BOX CULVERT,22.6895555555555,91.6208055555555,4.2
N1,Box Culvert,A,BORO KAMALDA BOX CULVERT,22.6850833333333,91.6228055555555,3.2
N1,Box Culvert,A,TARAT BOX CULVERT,22.6751666666666,91.6274166666666,6.0
N1,Box Culvert,A,Tarial Bazar Culvert,22.6679166666666,91.6300555555555,3.0
N1,Box Culvert,A,MIRJA PUR (3) BOX CULVERT,22.6637222222222,91.6320833333333,3.0
N1,Box Culvert,A,SATU DURUAR HAT BOX CULVERT,22.6597777777777,91.6349444444444,3.0
N1,Box Culvert,A,RONA SORA CULVERT,22.6527777777777,91.6390555555555,3.1
N1,Box Culvert,A,NUNA CHARA BOX CULVERT,22.6489722222222,91.641,4.6
N1,Box Culvert,A,BOTTOL BOX CULVERT,22.6453333333333,91.6429722222222,12.4
N1,Box Culvert,A,KACHAI PATH BOX CULVERT,22.6338888888888,91.6493611111111,3.0
N1,Box Culvert,A,KACHAI POTTI BOX CULVERT,22.6320277777777,91.6502777777777,3.0
N1,Box Culvert,A,EGOL PUR BOX CULVERT,22.6259166666666,91.654,3.0
N1,Box Culvert,B,UTTOR SITAKONDO BAZAR BOX CULVERT,22.6235,91.6553888888889,6.1
N1,Slab Culvert,A,SITAKUNDA SLAB,22.6208611111111,91.6569722222222,3.0
N1,Box Culvert,A,MOHADAB PUR BOX CULVERT,22.6161944444444,91.6599722222222,3.0
N1,Slab Culvert,A,PURBOMOHADAB PUR SLAB CULVERT(L),22.6123611111111,91.6621666666666,4.6
N1,Box Culvert,A,DULAHAJRA(R),22.6123611111111,91.6620833333333,4.6
N1,Box Culvert,A,MADICAL MORE CULVERT,22.6088333333333,91.6640555555555,3.0
N1,Box Culvert,A,DOKHIN MOHADEB PUR BOX CULVERT,22.6009444444444,91.6693055555555,2.95
N1,Box Culvert,B,KALIAVA BOX CULVERT,22.5995,91.67025,4.5
N1,Box Culvert,B,SKM BOX CULVERT(1),22.5941777777777,91.6737333333333,9.3
N1,Box Culvert,A,HATILOTA BOX CULVERT,22.5905555555555,91.6754166666666,4.5
N1,RCC Girder Bridge,C,BAROCONDO BRIDGE,22.5836388888888,91.6784444444444,22.25
N1,Box Culvert,A,BAROGINDO CULVERT,22.5779722222222,91.6810833333333,2.5
N1,Box Culvert,A,BARO-CUNDHOW BOX CULVERT,22.5731944444444,91.6830555555555,10.2
N1,Box Culvert,A,PHPMORE BON CULVERT,22.5667777777777,91.6851388888888,3.0
N1,Box Culvert,A,CHARA KANDI BOX CULVERT,22.5640833333333,91.6858611111111,8.2
N1,Box Culvert,A,R. R TEXTAIL BOX CULVERT,22.5624722222222,91.6863055555555,4.5
N1,Box Culvert,A,OHIDPUR BOX CULVERT,22.5540555555555,91.6884444444444,4.1
N1,RCC Girder Bridge,B,BARSH BARIA BRIDGE,23.5503333333333,91.6902222222222,21.6
N1,Box Culvert,A,SOUTH BALSH KHALI BOX CULVERT,22.5431111111111,91.69475,3.0
N1,Box Culvert,A,DOKHIN BASH-KHALI BOX CULVERT,22.5399166666666,91.6960555555555,5.2
N1,Box Culvert,A,SOTTANA MONDIR CULVERT,22.5347777777777,91.6982777777777,8.2
N1,Box Culvert,A,GULAM JUTE MILE BOX CULVERT,22.5261388888888,91.7024722222222,3.0
N1,Arch Masonry,B,KYSTELGATE ARCH,22.5207222222222,91.7081388888889,16.3
N1,RCC Girder Bridge,C,BORO KUMIRA BRIDGE,22.5140555555555,91.7113055555555,27.0
N1,PC Girder Bridge,A,Chotokumir Bridge,22.5165556,91.7065833,41.11
N1,Box Culvert,A,ROYL CIMINT GATE CULVETRT,22.5030833333333,91.7132222222222,4.5
N1,RCC Girder Bridge,A,GORA MARA RCC GIRDER BRIDGE,22.4961388888888,91.7159444444444,17.6
N1,Box Culvert,B,GORA MARI BOX CULVERT,22.4869166666666,91.7192777777777,3.0
N1,Box Culvert,A,BARAOWLLA BOX CULVERT,22.4819444444444,91.7201944444444,4.5
N1,RCC Girder Bridge,B,MUDDO SONAISORI BRIDGE,22.4774722222222,91.721,23.2
N1,RCC Girder Bridge,D,Baro Aulia,22.4690891462562,91.7204999608985,24.33
N1,Box Culvert,A,HATIBORI BOX CULVERT,22.4693888888888,91.7250555555555,6.0
N1,RCC Girder Bridge,B,SHLAKHAR PAD BRIDGE,22.4588055555555,91.7303611111111,23.2
N1,RCC Girder Bridge,D,Modonhat Bridge,22.4624386352,91.7285307,24.32
N1,Box Culvert,A,KODOM RASUL BOX CULVERT,22.4450833333333,91.7360277777777,3.0
N1,RCC Girder Bridge,C,SALAKHARPAD BRIDGE,22.4420555555555,91.7368888888888,26.3
N1,Box Culvert,A,HASNA BAD BOX CULVERT,22.4333055555555,91.7403055555555,3.0
N1,RCC Girder Bridge,A,VATERIE BRIDGE,22.4307222222222,91.7414722222222,40.0
N1,PC Girder Bridge,B,DHAMAKHALI BRIDGE,22.4185555555555,91.7504444444444,35.1
N1,Box Culvert,A,VATIARI CULVERT,22.3978333333333,91.7576666666666,5.0
N1,Box Culvert,A,T. B HOSPITAL GATE BOX CULVERT,22.3920833333333,91.7592222222222,3.0
N1,PC Girder Bridge,A,GAMMON BRIDGE,22.3887777777777,91.7605833333333,18.0
N1,Box Culvert,A,PAKKA MATA BOX CULVERT,22.3812777777777,91.7653888888888,3.0
N1,Box Culvert,A,GLAXO BOX CULVERT,22.3764166666666,91.7704166666666,8.3
N1,Box Culvert,A,CORNAIL HAT BOX CULVERT,22.3694722222222,91.7772777777777,3.0
N1,Box Culvert,C,BOALIA BOX CULVERT,22.36325,91.8514166666666,4.65
N1,RCC Girder Bridge,B,BAKULIA BRIDGE,22.3555277777777,91.8530833333333,14.7
N1,RCC Girder Bridge,A,Bakulia Bridge,22.3522674714754,91.852622049836,15.8
N1,RCC Girder Bridge,B,HAFAS BAGAR BRIDGE,22.3426666666666,91.8531388888888,38.4
N1,RCC Girder Bridge,C,5 No hafez bazar Bridge,22.3395393508599,91.8533871579852,39.67
N1,RCC Girder Bridge,B,RAZAKATI BRIDGE,22.3383055555555,91.8536944444444,39.4
N1,RCC Girder Bridge,C,Tulatuli Bridge,22.3357673216494,91.8538536927835,40.38
N1,RCC Girder Bridge,A,RAJAKHALI RCC GIDER BRIDGE,22.3374166666666,91.8542222222222,48.5
N1,RCC Girder Bridge,C,Rajakhali Bridge,22.3349153368556,91.8533979043814,49.31
N1,Truss With Timber Deck,C,Hajrath Sha Amanath Satu,22.3293611111111,91.8518888888888,914.0
N1,PC Box,A,Sha Amanot Bridge,22.3266451369152,91.852759390139,954.5
N1,RCC Girder Bridge,C,SHIKALBAHA BRIDGE,22.3153611111111,91.8553333333333,11.0
N1,PC Girder Bridge,A,Shikalbaha Bridge,22.3129265129032,91.856181916129,17.3
N1,Box Culvert,C,SHIKALBAHA,22.3084166666666,91.8589166666666,15.2
N1,Box Culvert,A,SOUTH MITTACHORI,22.3042222222222,91.8621111111111,3.0
N1,Box Culvert,B,SHIKALBAHA BOX CULVERT,22.3020833333333,91.8640555555555,5.7
N1,Box Culvert,A,KADUMTOLI CULVERT,22.2997777777777,91.8655833333333,3.0
N1,Slab Culvert,A,ISLAMPUR CULVERT,22.2950555555555,91.8673055555555,1.5
N1,Box Culvert,A,NOLBILA CULVERT,22.2925555555555,91.8686388888888,3.0
N1,Box Culvert,A,SHIKALBAHA MORE,22.29175,91.8711944444444,3.0
N1,Box Culvert,A,SHIKALBAHA BOX CULVERT,22.2937777777777,91.8748055555555,3.0
N1,PC Girder Bridge,A,Sikolbaha Bridge-1,22.3427219,91.8531389,116.13
N1,PC Girder Bridge,C,SHIKALBAHA BRIDGE,22.2948333333333,91.8771666666666,116.5
N1,Box Culvert,B,SHANTERHAT CULVERT,22.2984722222222,91.8855,3.0
N1,Box Culvert,B,SHANTERHAT BOX CULVERT,22.3016111111111,91.8974444444444,3.1
N1,Box Culvert,A,KUSUMPUR BOX CULVERT,22.3031111111111,91.9026666666666,3.0
N1,Box Culvert,A,tassi bazer(R),22.3070833333333,91.9126111111111,3.0
N1,Box Culvert,B,MUNSHA BOX CULVERT(L),22.3070555555555,91.9127777777777,10.8
N1,Box Culvert,A,MONSHA CULVERT,22.3126111111111,91.9188333333333,3.0
N1,Box Culvert,A,UTTOR SONAPUR,22.3159722222222,91.9225555555555,3.0
N1,Steel Beam & RCC Slab,A,Pirol,22.3136388888888,91.9321944444444,5.3
N1,Box Culvert,A,UZIRPUR HIGH SCHOOL,22.3099166666666,91.94775,3.0
N1,RCC Girder Bridge,B,Patiya Bridge,22.3015833,91.897333,50.3
N1,PC Girder Bridge,C,PATIYA BRIDGE,22.3010833333333,91.9641666666666,50.8
N1,Box Culvert,A,PALYA BUS STATION,22.2920833333333,91.9490555555555,12.4
