Unnamed: 0,road,name,LRP Start,Offset Start,Chainage Start,LRP_end,Óffset_end,Chainage_end,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitude Decimal,road_number,EVV,Chainage,Chainag_end,Condition_A_Count,Condition_B_Count,Condition_C_Count,Condition_D_Count,Flood_Risk_A_Count,Flood_Risk_B_Count,Flood_Risk_C_Count,Flood_Risk_D_Count,Weighted_Sum
111,N1,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.754,LRP251,496,247.893,15.139,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP225,222.006,Km Post,Info.Missing,22.4518611,91.4666111,N1,39422.5,232.754,247.893,4.0,3.0,6.0,0.0,0.0,13.0,0.0,0.0,54.0
114,N1,Maizzertek Int with Z1804-Sikolbaha Int with Z1018,LRP251,496,247.893,LRP251,3048,250.445,2.552,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP251,247.397,Km Post,"Cox,s Bazar 143 km,Patiya 16 km",22.3148889,91.8553889,N1,39422.5,247.893,250.445,3.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,18.0
117,N1,Sikolbaha Int with Z1018-Santirhat Int. with Z1071,LRP251,3048,250.445,LRP251,5559,252.956,2.511,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP251,247.397,Km Post,"Cox,s Bazar 143 km,Patiya 16 km",22.3148889,91.8553889,N1,39422.5,250.445,252.956,4.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,21.0
120,N1,Santirhat Int. with Z1071 - Int. with Z1070,LRP251,5559,252.956,LRP259,726,255.725,2.769,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0,9550.0,LRP251,247.397,Km Post,"Cox,s Bazar 143 km,Patiya 16 km",22.3148889,91.8553889,N1,39422.5,252.956,255.725,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0
123,N1,Int. with Z1070 - Mansertek(Int.with N107),LRP259,726,255.725,LRP259,1810,256.809,1.084,30.0,1077.0,795.0,994.0,658.0,1483.0,305.0,658.0,3125.0,536.0,207.0,240.0,7.0,9661.0,454.0,10115.0,10115.0,LRP259,254.999,Km Post,"Cox,s Bazar 135 km,Patiya 10 km",22.3053611,91.9106389,N1,42827.5,255.725,256.809,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
126,N1,Mansertek(Int.with N107)- Patiya (Int.with Z1059),LRP259,1810,256.809,LRP264,3734,263.744,6.935,30.0,1077.0,795.0,994.0,658.0,1483.0,305.0,658.0,3125.0,536.0,207.0,240.0,7.0,9661.0,454.0,10115.0,10115.0,LRP259,254.999,Km Post,"Cox,s Bazar 135 km,Patiya 10 km",22.3053611,91.9106389,N1,42827.5,256.809,263.744,3.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,18.0
129,N1,Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057),LRP264,3734,263.744,LRP264,4060,264.07,0.326,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0,14826.0,LRP264,260.01,Km Post,Info.Missing,22.3067222,91.9491941,N1,47568.5,263.744,264.07,,,,,,,,,
132,N1,Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039),LRP264,4060,264.07,LRP264,5400,265.41,1.34,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0,14826.0,LRP264,260.01,Km Post,Info.Missing,22.3067222,91.9491941,N1,47568.5,264.07,265.41,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
135,N1,Patiya (Int.with Z1039)-Khanhat Int.with Z1026,LRP264,5400,265.41,LRP277,1763,274.982,9.572,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0,14826.0,LRP264,260.01,Km Post,Info.Missing,22.3067222,91.9491941,N1,47568.5,265.41,274.982,8.0,6.0,3.0,0.0,0.0,17.0,0.0,0.0,63.0
138,N1,Khanhat Int.with Z1026 - Hashimpur Z1036,LRP277,1763,274.982,LRP281,700,278.013,3.031,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0,13742.0,LRP277,273.219,Km Post,Info.Missing,22.227916,92.0258882,N1,46300.0,274.982,278.013,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,15.0
